airport_name,calendar_date,arriving_departing_flag,passengers
East Midlands,2020-01-19 00:00:00,Departing,2481
East Midlands,2020-02-11 00:00:00,Arriving,1883
East Midlands,2020-02-25 00:00:00,Arriving,2997
East Midlands,2020-03-13 00:00:00,Departing,2267
East Midlands,2020-02-17 00:00:00,Arriving,2918
East Midlands,2020-03-13 00:00:00,Arriving,2329
East Midlands,2020-02-28 00:00:00,Departing,3207
East Midlands,2020-01-02 00:00:00,Departing,3215
East Midlands,2020-03-10 00:00:00,Arriving,1925
East Midlands,2020-02-25 00:00:00,Departing,2582
East Midlands,2020-01-15 00:00:00,Arriving,1567
East Midlands,2020-03-04 00:00:00,Arriving,1633
East Midlands,2020-03-11 00:00:00,Departing,1577
East Midlands,2020-03-19 00:00:00,Departing,152
East Midlands,2020-01-28 00:00:00,Arriving,1745
East Midlands,2020-01-10 00:00:00,Arriving,2619
East Midlands,2020-01-02 00:00:00,Arriving,3896
East Midlands,2020-03-19 00:00:00,Arriving,1622
East Midlands,2020-03-27 00:00:00,Departing,0
East Midlands,2020-02-28 00:00:00,Arriving,2991
East Midlands,2020-01-25 00:00:00,Arriving,2887
East Midlands,2020-03-04 00:00:00,Departing,1739
East Midlands,2020-01-17 00:00:00,Arriving,2563
East Midlands,2020-02-20 00:00:00,Departing,2716
East Midlands,2020-01-28 00:00:00,Departing,1785
East Midlands,2020-02-22 00:00:00,Departing,3131
East Midlands,2020-01-01 00:00:00,Arriving,1758
Manchester,2020-01-18 00:00:00,Departing,21796
Manchester,2020-02-03 00:00:00,Departing,24841
Manchester,2020-02-07 00:00:00,Departing,25790
Manchester,2020-01-05 00:00:00,Arriving,33324
Manchester,2020-02-20 00:00:00,Departing,23478
Manchester,2020-01-12 00:00:00,Departing,23699
Manchester,2020-02-25 00:00:00,Arriving,23641
Manchester,2020-03-06 00:00:00,Departing,22445
Manchester,2020-01-16 00:00:00,Arriving,20681
Manchester,2020-03-03 00:00:00,Departing,16861
Manchester,2020-03-07 00:00:00,Departing,21704
Manchester,2020-01-30 00:00:00,Arriving,21076
Manchester,2020-01-29 00:00:00,Departing,17012
Manchester,2020-02-08 00:00:00,Departing,24522
Manchester,2020-01-30 00:00:00,Departing,21197
Manchester,2020-01-26 00:00:00,Arriving,26813
Manchester,2020-02-06 00:00:00,Departing,22308
Manchester,2020-01-03 00:00:00,Departing,27298
Manchester,2020-02-28 00:00:00,Arriving,26482
Manchester,2020-01-05 00:00:00,Departing,27130
Manchester,2020-03-10 00:00:00,Arriving,17908
Manchester,2020-03-23 00:00:00,Departing,1500
